id,name,ingredients,instructions,calories,protein,carbs,fats,cuisine,cooking_time,difficulty,image
1,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",453,35,37,30,International,57,Easy,https://example.com/images/recipe_1.jpg
2,Paneer Butter Masala,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",329,20,24,5,Indian,31,Easy,https://example.com/images/recipe_2.jpg
3,Stuffed Paratha,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,214,18,22,5,Indian,17,Easy,https://example.com/images/recipe_3.jpg
4,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",343,18,47,35,International,29,Medium,https://example.com/images/recipe_4.jpg
5,Vegetable Tacos,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",502,23,66,24,International,18,Easy,https://example.com/images/recipe_5.jpg
6,Dhokla,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,120,10,24,12,Indian,27,Hard,https://example.com/images/recipe_6.jpg
7,Lentil Soup (Dal),"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",487,55,26,21,Indian,19,Easy,https://example.com/images/recipe_7.jpg
8,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,569,51,20,28,Indian,16,Easy,https://example.com/images/recipe_8.jpg
9,Palak Paneer,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",593,56,36,24,Indian,17,Easy,https://example.com/images/recipe_9.jpg
10,Chicken Tikka Masala,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",274,21,10,5,Indian,42,Medium,https://example.com/images/recipe_10.jpg
11,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,319,21,68,17,Indian,40,Hard,https://example.com/images/recipe_11.jpg
12,Oatmeal with Berries,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",543,49,39,28,International,27,Medium,https://example.com/images/recipe_12.jpg
13,Stuffed Paratha,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,538,21,50,18,Indian,17,Easy,https://example.com/images/recipe_13.jpg
